Mean: -76.6943093213009	min: -115.5592719006732	max: 25.48881772773207
Mean: -65.81513710522854	min: -120.91610971628756	max: 28.61959188482429
Mean: -70.95858138021599	min: -117.51085420979912	max: 30.540980491990474
Mean: -72.47640643067174	min: -116.67800163829898	max: 33.5370306295673
Mean: -67.4280255839925	min: -123.66515453588067	max: 29.255181461303007
Mean: -57.10046563710694	min: -117.59005817770685	max: 28.235996166308823
Mean: -60.61595339323672	min: -119.62711499479025	max: 30.476561358339424
Mean: -59.89729131772811	min: -120.39057086182834	max: 31.228490299910355
Mean: -41.74595820993138	min: -117.87715550910785	max: 34.32430203820955
Mean: -57.904372193443095	min: -120.87676179979897	max: 27.239066818591503
Mean: -63.192422619282155	min: -122.13088750348932	max: 27.625950384176253
Mean: -51.563187379180654	min: -121.72607945871206	max: 31.988933623789137
Mean: -56.75697463735109	min: -116.13107865920887	max: 24.142195262553503
Mean: -55.74576868382255	min: -117.55850803880126	max: 25.879503538299907
Mean: -47.071049551066096	min: -122.60548510496693	max: 26.097384369228095
Mean: -50.853623513681114	min: -119.26624245669451	max: 27.13374400353841
Mean: -49.29832135182578	min: -119.38261471446665	max: 27.010342097182516
Mean: -54.71133157879643	min: -116.46460603379964	max: 24.03821235630402
Mean: -42.03252769086495	min: -116.46818129155366	max: 29.78517571848983
Mean: -67.175152636649	min: -119.2876402193362	max: 26.44499044465495
Mean: -65.96722246896977	min: -118.28291803099086	max: 23.47176569698753
Mean: -61.16400325169711	min: -117.25701287516512	max: 24.21666585227048
Mean: -67.16349714210145	min: -117.03482930895986	max: 26.351805671277145
Mean: -62.31703747989863	min: -116.43408552368675	max: 29.597175634239406
Mean: -61.34660968442196	min: -119.9686165362493	max: 28.13561603062814
Mean: -60.658844138354176	min: -116.91655703723409	max: 28.768070938389606
Mean: -45.02914637059508	min: -119.52688171561353	max: 31.06024765938553
Mean: -38.36060395700244	min: -116.57498655272452	max: 26.912372284306443
Mean: -17.42860741658248	min: -115.85522457674368	max: 29.335894735614588
Mean: -31.04533552960631	min: -121.13239495838286	max: 28.181551953496694
Mean: -21.61326348255544	min: -112.10570872717705	max: 26.072653943626715
Mean: -25.1512500535052	min: -118.82664774278133	max: 30.641363221986666
Mean: -27.25584324099824	min: -116.25246591320726	max: 26.467431803343683
Mean: -30.01057809055265	min: -121.18481693554178	max: 26.940171219202934
Mean: -26.093001361600187	min: -121.27770128515269	max: 30.009930366955864
Mean: -28.081099306395277	min: -117.54182609471967	max: 26.935693521833265
Mean: -44.2222190191097	min: -121.5974325620748	max: 29.604333813670205
Mean: -53.55793387114104	min: -121.27576320263728	max: 32.029862239515275
Mean: -40.08616043438598	min: -121.97851532352419	max: 25.92203349524959
Mean: -35.73048379215211	min: -122.36261326038431	max: 26.86301273010524
Mean: -34.69718841331624	min: -120.43642757344718	max: 27.23667461507032
Mean: -42.60565060188261	min: -117.14656570556565	max: 30.78672600589038
Mean: -54.75457033715271	min: -126.27499938517809	max: 28.72528614445214
Mean: -53.75470846388428	min: -116.89886829749744	max: 30.07286093849797
Mean: -45.693588884147665	min: -119.44970766678512	max: 26.788168903969233
Mean: -49.81147899400327	min: -121.77381606626844	max: 29.12087214128128
Mean: -39.639030146362785	min: -119.5150664063018	max: 26.37227907305147
Mean: -35.794188078523646	min: -121.09234306991596	max: 26.739063131001622
Mean: -38.03366389189282	min: -123.36601713149568	max: 32.851386296956086
Mean: -18.60015508451784	min: -118.63260801295672	max: 29.967560193443315
Mean: -38.724829112288354	min: -120.29998110367877	max: 33.24998589092513
Mean: -39.316340638847144	min: -117.37449067962724	max: 30.180563799524005
Mean: -42.71336497271621	min: -124.06031585383727	max: 28.01877612265356
Mean: -42.07798874558795	min: -119.73809653329586	max: 30.915395224005227
Mean: -32.98534288098574	min: -121.72193151994514	max: 30.666547513115066
Mean: -35.16711991145034	min: -121.08669801890093	max: 27.087851658988484
Mean: -30.42218142052902	min: -124.35529301472607	max: 32.90312144203447
Mean: -26.739360209008773	min: -120.0128050193462	max: 32.066472583636234
Mean: -47.576083489311294	min: -121.67464865500341	max: 29.638365531166727
Mean: -51.42534303991292	min: -118.79296230749777	max: 30.666214689891923
